Name,RealEstate,Bonds,Stocks,Trades
1/4/99,1.458,-0.153548951,-0.089221023,0
1/5/99,0.449,-0.266972167,1.362285139,0
1/6/99,0.131,0.259726749,2.236807095,0
1/7/99,-0.632,-0.289082318,-0.19894973,0
1/8/99,0.058,-0.446922882,0.421872465,0
1/11/99,-0.337,-0.17714848,-0.878863421,0
1/12/99,-0.401,0.346675308,-1.928170974,0
1/13/99,-0.259,0.384254917,-0.406038336,0
1/14/99,-0.547,0.602192828,-1.797667086,0
1/15/99,0.247,-0.284987935,2.564382697,0
1/18/99,0.000,0,0,1
1/19/99,0.467,-0.089811286,0.703625238,0
1/20/99,-0.326,-0.17180848,0.374916995,0
1/21/99,-0.434,0.297650087,-1.707755446,0
1/22/99,-0.188,0.384034945,-0.805875205,0
1/25/99,0.100,-0.105032614,0.717549643,0
1/26/99,-0.272,-0.042417218,1.485685669,0
1/27/99,-0.507,0.038911999,-0.715519368,0
1/28/99,-0.701,0.131521486,1.796364669,0
1/29/99,-0.290,0.134865957,1.127618516,0
2/1/99,0.060,-0.517389146,-0.519013243,0
2/2/99,0.308,-0.316355509,-0.860868611,0
2/3/99,-0.026,-0.117593027,0.811814139,0
2/4/99,0.006,-0.373013331,-1.845835453,0
2/5/99,-0.493,-0.136206591,-0.7261869,0
2/8/99,-0.090,0.043681992,0.369012447,0
2/9/99,-0.166,0.19460282,-2.220120582,0
2/10/99,-1.088,-0.031172378,0.628687494,0
2/11/99,-0.438,-0.043631224,2.499639562,0
2/12/99,-1.064,-0.804880923,-1.903589744,0
2/15/99,0.000,0,0,1
2/16/99,-0.077,0.259841512,0.954730937,0
2/17/99,-0.435,0.266721689,-1.424471076,0
2/18/99,0.417,-0.246107852,1.090245425,0
2/19/99,-0.111,-0.07170516,0.156784493,0
2/22/99,1.021,0.235158036,2.658792277,0
2/23/99,0.082,-0.349409476,-0.073932029,0
2/24/99,-0.096,-0.452101637,-1.387829183,0
2/25/99,-0.190,-0.542601672,-0.656494903,0
2/26/99,-0.319,0.285370221,-0.534566889,0
3/1/99,0.320,-0.48368874,-0.172621413,0
3/2/99,-0.295,0.273891005,-0.861034192,0
3/3/99,-0.240,-0.263094963,0.201993563,0
3/4/99,-0.018,-0.139792845,1.556462129,0
3/5/99,0.493,0.415284537,2.314225803,0
3/8/99,-0.120,0.108344844,0.575112979,0
3/9/99,0.217,0.439694634,-0.224951919,0
3/10/99,-0.254,-0.084172662,0.553034519,0
3/11/99,-0.160,0.005120217,0.866067608,0
3/12/99,-0.162,0.252437779,-0.237000334,0
3/15/99,-0.473,0.199654236,0.979736242,0
3/16/99,-0.475,0.217971543,-0.066815645,0
3/17/99,0.097,0.016687785,-0.649500233,0
3/18/99,-0.567,-0.088748311,1.44661166,0
3/19/99,-0.144,-0.274871103,-1.310588957,0
3/22/99,-0.851,-0.190065405,-0.17397788,0
3/23/99,-0.488,0.079334739,-2.687776558,0
3/24/99,0.223,0.179579077,0.512280783,0
3/25/99,0.101,-0.262132232,1.688100569,0
3/26/99,0.120,0.190354595,-0.557530934,0
3/29/99,1.114,-0.37723466,2.148230785,0
3/30/99,0.326,0.392631338,-0.711845421,0
3/31/99,0.755,-0.215680748,-1.104473739,0
4/1/99,-0.634,-0.188259586,0.576086151,0
4/2/99,0.000,0.487187852,0,0
4/5/99,-0.004,0.032265954,2.118742592,0
4/6/99,-0.619,0.395389289,-0.240466049,0
4/7/99,-0.503,-0.006703357,0.703096296,0
4/8/99,0.066,0.533289752,1.291895388,0
4/9/99,0.089,-0.053898359,0.325267145,0
4/12/99,0.763,0.022147354,0.764293097,0
4/13/99,0.688,-0.230463038,-0.645126461,0
4/14/99,1.387,-0.034734365,-1.581721365,0
4/15/99,1.605,-0.118961026,-0.42014255,0
4/16/99,3.316,-0.229369794,-0.291626009,0
4/19/99,1.793,0.225330142,-2.236963557,0
4/20/99,0.183,0.15124277,1.29394434,0
4/21/99,0.616,-0.012462543,2.298786034,0
4/22/99,0.611,-0.480481027,1.700441302,0
4/23/99,0.076,0.102023127,-0.144641257,0
4/26/99,-0.515,0.136276146,0.235112259,0
4/27/99,-0.460,0.138906903,0.202746788,0
4/28/99,0.252,-0.13661489,-0.864773528,0
4/29/99,-0.279,0.351583355,-0.580820966,0
4/30/99,0.950,-0.815405351,-0.568380362,0
5/3/99,0.447,0.02921017,1.456254702,0
5/4/99,0.048,-0.262894436,-1.669706597,0
5/5/99,0.429,0.133611127,1.172403923,0
5/6/99,0.184,-0.569672489,-1.125631093,0
5/7/99,0.379,-0.086656573,0.972273425,0
5/10/99,1.297,0.197595764,-0.321515373,0
5/11/99,0.650,-0.282003511,1.148067966,0
5/12/99,0.293,0.122291247,0.638323172,0
5/13/99,0.051,0.580725827,0.263162135,0
5/14/99,-1.234,-0.799574433,-2.172620482,0
5/17/99,-0.813,-0.205608101,0.129222312,0
5/18/99,-0.711,-0.049865239,-0.454428628,0
5/19/99,0.493,0.360765638,0.822364807,0
5/20/99,0.830,-0.121082112,-0.396658911,0
5/21/99,0.765,0.319950945,-0.636744072,0
5/24/99,-0.447,0.085868995,-1.776581278,0
5/25/99,-0.166,-0.000641161,-1.701099689,0
5/26/99,-0.660,-0.238833913,1.599393314,0
5/27/99,-0.047,-0.330910087,-1.77625376,0
5/28/99,0.428,0.121228731,1.594684006,0
5/31/99,0.000,0,0,1
6/1/99,-0.074,-0.683702402,-0.579270007,0
6/2/99,-0.260,0.021440589,0.063355583,0
6/3/99,0.334,0.001701912,0.366325215,0
6/4/99,0.082,0.015600599,2.172468176,0
6/7/99,0.031,-0.000567206,0.513790195,0
6/8/99,-0.235,-0.140060165,-1.284491222,0
6/9/99,-0.125,-0.129423946,0.106674371,0
6/10/99,-0.435,-0.248255387,-1.198807852,0
6/11/99,-0.541,-0.461256453,-0.682511417,0
6/14/99,-0.486,0.279361952,0.029411099,0
6/15/99,0.707,0.032517751,0.554123128,0
6/16/99,-0.242,0.166451448,2.25151263,0
6/17/99,0.039,0.778102219,0.71766388,0
6/18/99,-0.265,-0.194104461,0.220044227,0
6/21/99,-0.199,-0.314596025,0.460370039,0
6/22/99,-0.468,-0.18689228,-0.972379646,0
6/23/99,-0.549,-0.310768381,-0.209748083,0
6/24/99,-0.432,-0.195580581,-1.296256661,0
6/25/99,-0.278,0.137362806,-0.035584221,0
6/28/99,0.807,0.372400466,1.233654632,0
6/29/99,-0.045,0.201112609,1.510914295,0
6/30/99,1.272,0.613008929,1.579895973,0
7/1/99,-0.482,-0.169056693,0.60582487,0
7/2/99,0.193,0.156164222,0.743055372,0
7/5/99,0.000,0,0,1
7/6/99,-0.079,-0.190228941,-0.211862179,0
7/7/99,-0.384,-0.122895729,0.578457972,0
7/8/99,-0.580,0.37744115,-0.096902778,0
7/9/99,0.306,0.000161348,0.635459922,0
7/12/99,0.177,0.583877714,-0.297488799,0
7/13/99,-0.512,0.115536235,-0.391913006,0
7/14/99,-0.207,-0.143923162,0.333125239,0
7/15/99,0.410,0.072326042,0.819329269,0
7/16/99,-0.091,0.208202973,0.650862717,0
7/19/99,-0.201,0.037681884,-0.783713597,0
7/20/99,-0.603,0.098647762,-2.170289008,0
7/21/99,-0.020,-0.078337096,0.164564488,0
7/22/99,-0.266,-0.481864997,-1.327072491,0
7/23/99,-0.421,-0.230147794,-0.295946977,0
7/26/99,-0.605,-0.062612214,-0.676611126,0
7/27/99,0.070,0.193071194,1.118915254,0
7/28/99,-0.531,0.00164872,0.196848282,0
7/29/99,-0.729,-0.324309891,-1.768153957,0
7/30/99,0.838,-0.137407746,-0.917701169,0
8/2/99,-0.448,-0.021451529,-0.05005005,0
8/3/99,-0.326,-0.131726912,-0.438569943,0
8/4/99,-0.942,0.090145605,-1.259603161,0
8/5/99,-0.464,0.299904802,0.649310667,0
8/6/99,-0.264,-0.650047316,-1.003831801,0
8/9/99,-0.451,-0.397594394,-0.18988124,0
8/10/99,-0.429,-0.075348006,-1.257964293,0
8/11/99,0.026,0.210562871,1.62569186,0
8/12/99,0.289,-0.102416426,-0.286058838,0
8/13/99,0.606,0.530236899,2.277598087,0
8/16/99,-0.102,0.00907215,0.23594245,0
8/17/99,0.208,0.431454988,1.006842137,0
8/18/99,0.051,0.081896053,-0.832210682,0
8/19/99,-0.043,-0.105600152,-0.689103618,0
8/20/99,0.160,0.138179539,0.984015268,0
8/23/99,0.115,-0.004067973,1.76751401,0
8/24/99,-0.401,0.266241539,0.241522558,0
8/25/99,-0.314,0.570397193,1.348732117,0
8/26/99,-0.081,-0.092789464,-1.430631792,0
8/27/99,-0.054,-0.471055024,-1.000648519,0
8/30/99,-0.584,-0.52819702,-1.787106414,0
8/31/99,1.265,-0.073618998,-0.271207369,0
9/1/99,-0.351,-0.009416272,0.829653049,0
9/2/99,-0.649,-0.264569618,-0.897379673,0
9/3/99,0.776,0.738918352,2.89407743,0
9/6/99,0.000,0,0,1
9/7/99,0.143,-0.307856929,-0.491358224,0
9/8/99,-0.232,0.116655274,-0.456507528,0
9/9/99,-0.294,-0.216191554,0.261049844,0
9/10/99,0.063,0.437641799,0.296637923,0
9/13/99,-0.293,-0.150164642,-0.533772297,0
9/14/99,-0.728,-0.289986991,-0.582215566,0
9/15/99,-0.400,0.157613898,-1.367732217,0
9/16/99,-0.328,0.229636405,0.044821461,0
9/17/99,-0.085,0.233898504,1.285965553,0
9/20/99,-0.452,-0.182089769,0.009829459,0
9/21/99,-0.931,-0.076210224,-2.092376912,0
9/22/99,-0.144,0.092729433,0.226424775,0
9/23/99,-0.361,0.37664579,-2.296413766,0
9/24/99,-0.392,0.550450483,-0.23805727,0
9/27/99,-0.090,-0.389393082,0.465262317,0
9/28/99,-0.099,-0.270289079,-0.061368867,0
9/29/99,-0.043,-0.403765268,-1.07177175,0
9/30/99,1.123,0.431897433,1.130511748,0
10/1/99,-0.679,-0.513353856,0.009661342,0
10/4/99,0.320,0.303782328,1.701936628,0
10/5/99,0.274,-0.486114459,-0.245291137,0
10/6/99,0.162,0.001897594,1.864651715,0
10/7/99,-0.806,-0.000888219,-0.583412606,0
10/8/99,-0.150,0.090074232,1.394911504,0
10/11/99,0.269,0,-0.060549198,0
10/12/99,-0.565,-0.159172144,-1.660380654,0
10/13/99,-0.772,-0.300024524,-2.08637446,0
10/14/99,-0.464,-0.172305847,-0.165523496,0
10/15/99,-0.804,0.463779906,-2.8055054,0
10/18/99,-0.307,-0.204292898,0.539207954,0
10/19/99,-0.004,-0.213375701,0.573503777,0
10/20/99,-0.007,-0.009170024,2.234714334,0
10/21/99,-0.822,-0.046787641,-0.450396994,0
10/22/99,0.367,0.025008394,1.40669172,0
10/25/99,-0.113,-0.011608137,-0.616337132,0
10/26/99,-0.525,-0.066490684,-0.905736897,0
10/27/99,0.203,0.315451903,1.162413956,0
10/28/99,0.275,0.426743914,3.544377767,0
10/29/99,1.568,0.66233363,1.527024094,0
11/1/99,0.319,-0.174677771,-0.645664746,0
11/2/99,0.984,0.206922619,-0.469642684,0
11/3/99,0.120,0.09101491,0.548610098,0
11/4/99,-0.387,0.305040753,0.569806696,0
11/5/99,-0.489,0.294740419,0.558560677,0
11/8/99,0.250,-0.101921476,0.503898838,0
11/9/99,-0.211,-0.025237668,-0.83244747,0
11/10/99,-0.158,-0.104360609,0.610110556,0
11/11/99,-0.449,0,0.582557209,0
11/12/99,-0.207,0.42481395,1.065612648,0
11/15/99,-0.461,-0.013574009,-0.117326826,0
11/16/99,0.073,-0.138338721,1.846022125,0
11/17/99,-0.319,-0.36184846,-0.646391536,0
11/18/99,-0.170,-0.126227215,1.013816801,0
11/19/99,0.492,0.058879288,-0.205835934,0
11/22/99,-0.741,-0.140764046,-0.073189207,0
11/23/99,-0.650,-0.004317625,-1.142690316,0
11/24/99,-0.167,-0.046776294,0.886482566,0
11/25/99,0.000,0,0,1
11/26/99,-0.096,-0.106115883,-0.025164209,0
11/29/99,-0.419,-0.459990294,-0.605120408,0
11/30/99,0.584,0.202859584,-1.34216048,0
12/1/99,-0.043,-0.116057855,0.655851061,0
12/2/99,-0.731,-0.11293722,0.810829096,0
12/3/99,0.198,0.467750749,1.721672423,0
12/6/99,-0.368,0.107372154,-0.695283239,0
12/7/99,-0.144,0.263481736,-0.990432969,0
12/8/99,-0.840,-0.153619638,-0.366481877,0
12/9/99,-0.381,0.124243708,0.303071121,0
12/10/99,-0.763,0.374503732,0.634268035,0
12/13/99,-0.454,-0.151620466,-0.109835401,0
12/14/99,-1.255,-0.636713621,-0.850361982,0
12/15/99,0.003,-0.185729155,0.727063555,0
12/16/99,0.073,-0.348578962,0.391004831,0
12/17/99,3.709,0.027118333,0.160405061,0
12/20/99,0.986,-0.291493396,-0.204662205,0
12/21/99,0.100,-0.071551132,1.082832592,0
12/22/99,-0.250,-0.009986326,0.19984175,0
12/23/99,0.245,-0.049330101,1.54745634,0
12/24/99,0.000,0.05263126,0,0
12/27/99,0.065,0.148187623,-0.084742806,0
12/28/99,0.884,-0.099278084,0.038416061,0
12/29/99,1.047,0.167958416,0.410943874,0
12/30/99,0.036,0.110668294,0.071024844,0
12/31/99,0.945,-0.252284972,0.327077988,0
1/3/00,-0.967,-0.576632253,-0.954289107,0
1/4/00,-1.018,0.445263694,-3.830958339,0
1/5/00,0.463,-0.482897515,0.200996151,0
1/6/00,1.814,0.339822994,0.115587162,0
1/7/00,2.148,0.301600093,2.708761539,0
1/10/00,1.204,-0.203060818,1.121063801,0
1/11/00,-0.484,-0.488831395,-1.303543745,0
1/12/00,-0.341,-0.107178782,-0.432340701,0
1/13/00,-0.094,0.508495143,1.216926386,0
1/14/00,-0.316,-0.16407642,1.06698073,0
1/17/00,0.000,0,0,1
1/18/00,0.234,-0.229029441,-0.682323072,0
1/19/00,0.374,0.154514558,0.056918038,0
1/20/00,0.076,-0.107209559,-0.70907476,0
1/21/00,0.102,0.098665475,-0.291485117,0
1/24/00,-0.958,0.356218327,-2.762586882,0
1/25/00,-0.335,0.064022015,0.606469003,0
1/26/00,0.041,0.188465049,-0.418362615,0
1/27/00,-0.180,0.126268182,-0.386489926,0
1/28/00,-0.441,0.297734837,-2.737221538,0
1/31/00,-0.911,-0.277516501,2.522148232,0
2/1/00,0.503,0.249468333,1.062588549,0
2/2/00,0.216,0.184474471,-0.0015462,0
2/3/00,0.605,0.582665403,1.133897877,0
2/4/00,-0.269,-0.182828706,-0.039241468,0
2/7/00,-0.121,-0.44987406,-0.007137613,0
2/8/00,0.039,0.442470591,1.233365625,0
2/9/00,-0.042,-0.346932102,-2.060952208,0
2/10/00,-0.285,-0.318252352,0.364090776,0
2/11/00,-0.819,0.254030296,-2.086952066,0
2/14/00,-0.541,0.452900478,0.207230025,0
2/15/00,0.136,-0.167723212,0.872117313,0
2/16/00,-0.468,-0.017933342,-1.007465391,0
2/17/00,0.551,0.066381283,0.043930297,0
2/18/00,-0.940,0.463440495,-3.037700736,0
2/21/00,0.000,0,0,1
2/22/00,-0.539,0.619968753,0.453405936,0
2/23/00,0.075,-0.419394419,0.638665565,0
2/24/00,-0.394,0.336380084,-0.531154675,0
2/25/00,0.124,-0.076335969,-1.474372721,0
2/28/00,-0.256,-0.319690458,1.113892365,0
2/29/00,1.137,0.234769979,1.36316914,0
3/1/00,-0.251,0.025671761,0.956198566,0
3/2/00,-0.159,0.045340482,0.188271426,0
3/3/00,0.530,0.231238717,1.984158229,0
3/6/00,0.081,-0.197476088,-1.2584346,0
3/7/00,-0.859,0.087240562,-2.559892413,0
3/8/00,0.144,-0.05049285,0.828104187,0
3/9/00,0.174,0.103651784,2.562592516,0
3/10/00,0.120,-0.188921139,-0.472295938,0
3/13/00,-0.544,0.116549377,-0.808740216,0
3/14/00,-0.147,0.366233769,-1.767430649,0
3/15/00,1.147,0.182606558,2.431868736,0
3/16/00,1.561,0.177704068,4.777949049,0
3/17/00,0.395,0.243295225,0.411524679,0
3/20/00,-0.195,0.031186401,-0.53358148,0
3/21/00,0.211,0.150510807,2.556319139,0
3/22/00,0.655,0.034066601,0.454655733,0
3/23/00,0.229,0.194504932,1.780444097,0
3/24/00,-0.433,-0.499167858,0.007118688,0
3/27/00,0.006,0.009776656,-0.235849057,0
3/28/00,-0.151,0.088530944,-1.057408279,0
3/29/00,0.515,0.056994093,0.065382101,0
3/30/00,0.064,0.590315347,-1.363959566,0
3/31/00,0.130,0.292217384,0.716007891,0
4/3/00,0.080,0.153221657,0.494257043,0
4/4/00,0.269,0.647450723,-0.743032864,0
4/5/00,0.805,-0.190321917,-0.485326274,0
4/6/00,0.784,-0.056738104,0.956385321,0
4/7/00,0.866,0.443805505,0.999927611,0
4/10/00,0.525,0.175752875,-0.784090746,0
4/11/00,0.324,-0.50102317,-0.252352562,0
4/12/00,0.669,-0.384462912,-2.220430471,0
4/13/00,0.211,0.263924017,-1.817077566,0
4/14/00,-0.840,0.192774586,-5.827713322,0
4/17/00,-0.431,-0.582649879,3.308322875,0
4/18/00,0.740,-0.034764241,2.871026105,0
4/19/00,0.135,0.433423315,-0.977869792,0
4/20/00,0.323,0.062180403,0.496300582,0
4/21/00,0.000,0,0,1
4/24/00,0.117,-0.124746982,-0.325698358,0
4/25/00,0.325,-0.454290411,3.32791262,0
4/26/00,0.694,-0.060250254,-1.106099235,0
4/27/00,0.571,-0.476267845,0.279617658,0
4/28/00,0.241,0.126735089,-0.846896197,0
5/1/00,1.764,-0.067714526,1.088978086,0
5/2/00,1.081,-0.280682663,-1.494532379,0
5/3/00,-0.223,-0.469395176,-2.146122608,0
5/4/00,0.003,-0.399443917,-0.387876555,0
5/5/00,0.197,-0.154187666,1.637171551,0
5/8/00,-0.681,-0.314387934,-0.581747973,0
5/9/00,0.342,0.251589493,-0.839344996,0
5/10/00,-0.665,0.366069609,-2.035888234,0
